,crystal_name,indirect_bandgap (eV),_cell_length_a,_cell_length_b,_cell_length_c,_cell_angle_alpha,_cell_angle_beta,_cell_angle_gamma
0,F4Fe8LiMnNa5O44Si16,0.4708,9.042013514,16.495948,4.972599538,89.99950926,104.7088348,90.00030731
1,Cl12InLiMn2,0.8392,5.696402467,11.34919382,5.816324087,90.00004709,101.9477795,89.9991597
2,La5Li2O18Ti6,0.3752,5.294598036,5.290432599,13.23999518,90.00149434,90.14758218,119.976549
3,La4Li3O24Ti8,2.3076,7.367790503,7.348894255,7.296716405,90.00041374,90.00002949,89.99998929
4,Cl12In2Mn,1.0325,5.786981536,11.25247273,5.959599688,90.01435474,100.2799276,89.99840794
5,La3Li2O18Ti6,0.3739,5.140096234,5.193670593,12.66219392,89.09855536,90.77751707,119.8286007
6,La5LiO24Ti8,1.8848,7.36385152,7.429962536,7.421745373,89.99998011,89.99975366,89.99999781
7,Ba4Li5O44Ti18,1.4899,5.530672341,9.399976449,13.29532882,90.20370915,90.21069215,89.7310025
8,Ba4Li7O44Ti20,0.3792,5.535859249,9.493802511,13.36000707,89.91037439,89.84964688,89.81309135
9,Al8Fe3Li8Mg9O96Si32,0.4806,16.99896951,16.63498635,4.912236654,90.00075852,90.12375772,89.98846577
10,Al8Fe6Li8Mg6O96Si32,0.9992,16.94680182,16.55898999,4.909701845,89.97235238,89.99014951,90.01922434
11,Al9Fe4Li8Mg8O96Si31,0.4872,16.99763171,16.62925285,4.9072511,89.96356722,90.02945729,89.92092071
12,FeLi2Mn3O16P4,0.4075,4.406887852,9.365410723,5.435827644,90.00002289,89.99998267,88.27022769
13,FeLi3Mn3O16P4,0.4194,4.418577598,9.415830313,5.479243683,89.28761643,89.5336232,90.67216224
14,Fe2Li4Mn2O16P4,0.3956,4.431174811,9.401623328,5.528313145,89.99985923,89.9999662,90.00021112
15,Li8O32Ti14,0.4142,7.942143275,7.325272513,7.97260101,86.9785763,87.76013394,92.03592515
16,Fe3K4Li4Mn5Na8O96Si32Ti8,0.4045,15.60888481,11.47219348,9.327815437,90.01131666,115.4726753,90.01797799
17,Ga7Li9Mn8O32,0.3772,7.669282027,7.737439826,7.691846885,91.50296188,90.34085976,89.69310381
18,Ga4Li8Mn12O32,0.3661,7.630745243,7.677003135,7.662783362,90.19131593,90.57940649,89.58475979
19,LiNi5O6,0.3751,2.749559273,2.749559927,13.56933232,89.98990901,90.01012669,119.9688332
20,Li3Ni3O6,0.3809,2.714264881,2.714264414,13.21679467,90.00110285,89.9989259,120.0018701
21,Li4Ni2O6,0.4138,2.683121568,2.683119255,13.10804679,90.00196313,89.99805469,120.019046
22,La12Li4Mn4O28,0.3955,5.113089288,5.11335007,19.38878631,89.99829251,90.00223139,90.00028066
