,indirect_bandgap (eV),crystal_name,_cell_length_c,_cell_length_b,_cell_length_a,_cell_angle_gamma,_cell_angle_beta,_cell_angle_alpha
2718,0.3949,Co2Li3MgO6,14.3158628951,2.84196083612999,2.84196084987,120.00194236,89.9995544728,90.0004375593
5416,1.4837,Al22B9Fe4LiNa2O93Si18,6.60790264802,15.0796914065,15.0931381463,120.01410338,89.8938175267,89.9544855307
692,0.3635,Fe5Li6Mn13O32,7.65625592848,7.60282630606,7.62848998951,89.5309847501,90.0417281044,91.1548811016
5464,0.3677,Al10Ca6Li2,14.6417562995,5.48962472970999,5.69622011370999,119.711479148,103.667063452,81.9488267861
986,0.5077,Ge12Li7O32Zn5,7.82725903538,7.8276259626,7.82319904591,89.9457107979,89.9465913826,90.0699710992
2606,0.8937,Fe2LiMo4NaO16,7.06402616346,7.20005779551999,6.67079691907,106.635392844,110.739455365,90.2725666913999
114,3.6155,Ge4Li14O16Zn,4.74248016983,5.87949574389,10.1641319226,90.2504968247,90.5608512971999,89.7359885524
1238,0.9603,Ge2Li21P4S24,12.1576615501,8.31693972383,8.45039084093999,89.6051621797999,90.3314576789,90.8245679125
2592,0.392,Al2Li17Si6,12.0501823746,6.48375263824,5.76001958516999,88.1692561348,91.1581420709,89.832655199
2796,0.878,Cs2F4LiMg5O20Si8,10.9669589483999,9.15384669861,5.28898724210999,90.0000201349,99.3158283078,89.9999711473
1015,0.5707,Co2Li3O3,8.90610116328,2.73012887199,2.73012220544,120.024007879,90.0018906865999,89.9979831395
5450,0.3955,Al4Cs2Li5O30Si8,4.59250500108,11.3792340518,11.2871619417,119.792483237,90.065969695,89.6483859852
953,0.3927,Ba6Ge12Li2Mg18O,4.5082967847,14.9208706503,14.9633295952,119.546758152,89.8842870699,90.0757332395
2955,0.3769,Co16LiO32Ti7,8.12856434131,8.08018455693,8.08019465552,89.2615560916,87.9915903862,92.0074914141
5165,0.448799999999999,Ge14Li50N32,9.16699411186,9.16699352134,9.16699102792,90.0716296426,90.0709846435,89.9299085654999
1444,0.3796,Al18Fe6LiMg2O48Si8,5.47050255827,15.9116132116,7.57696785053,89.1493193153,90.03853977,89.9282437680999
1990,0.8214,AlCa2F3Fe5Mg3Mn2Na2O45Si15,5.19834342889,17.5332704817,9.50103729471,89.9893101326,104.956231582,89.9613775062
2277,1.1479,Li4O12Te2Ti2,8.37566033253,4.92670374154,5.08440676348,89.7306066797999,90.000011761,89.9999681557
5941,0.6974,Cl32Cr7Li13,9.91117545056,10.1305504673,9.87795607686,91.1832074541,87.5534410112,87.8145136633
5240,0.6023,Hg4Li7Mg5,6.46806184088,6.46806241490999,6.46806214873,89.9999985609,90.0000046624,90.0000228836
